Player,Position,Class,Latest Team,Season,Destination Team,Date Entered
Mercyhurst,,,,,,
2025,--,6/2/2025,,,,
Greg Schmidt,,,,,,
P,FR,,,,,
Mercyhurst,,,,,,
2025,--,6/2/2025,,,,
Gavin McArther,,,,,,
IF,FR,,,,,
Mercyhurst,,,,,,
2025,--,6/2/2025,,,,
Ryan Thomas,,,,,,
CF,JR,,,,,
Old Dominion,,,,,,
2025,--,6/2/2025,,,,
Rocky Green,,,,,,
P,FR,,,,,
Old Dominion,,,,,,
2025,--,6/2/2025,,,,
Julian Arreola,,,,,,
P,FR,,,,,
Old Dominion,,,,,,
2025,--,6/2/2025,,,,
Danny Stickney,,,,,,
C,FR,,,,,
Mount St. Mary's,,,,,,
2025,--,6/2/2025,,,,
Zach Henderson,,,,,,
RF,FR,,,,,
Indiana State,,,,,,
2025,--,6/2/2025,,,,
Cole Pacheco,,,,,,
P,JR,,,,,
Indiana State,,,,,,
2025,--,6/2/2025,,,,
Paul Smith Jr.,,,,,,
1B,SO,,,,,
Alcorn State,,,,,,
2025,--,6/2/2025,,,,
Edwin Sanchez Jr.,,,,,,
P,FR,,,,,
Central Connecticut,,,,,,
2025,--,6/2/2025,,,,
Ryan Ponte,,,,,,
P-IF,FR,,,,,
Central Connecticut,,,,,,
2025,--,6/2/2025,,,,
CJ Moran,,,,,,
DH,FR,,,,,
San Diego State,,,,,,
2025,,,,,,
San Diego,,,,,,
6/1/2025,,,,,,
Peyton Rodgers,,,,,,
P,FR,,,,,
San Diego State,,,,,,
2025,,,,,,
UC Irvine,,,,,,
6/1/2025,,,,,,
Kyle Pettigrew,,,,,,
1B,FR,,,,,
San Diego State,,,,,,
2025,--,6/1/2025,,,,
James Fahan,,,,,,
P,SO,,,,,
Quinnipiac,,,,,,
2025,--,6/1/2025,,,,
Eli Selga,,,,,,
C-DH,FR,,,,,
San Diego State,,,,,,
2025,--,6/1/2025,,,,
Logan Brock,,,,,,
P,FR,,,,,
Belmont,,,,,,
2025,,,,,,
Kennesaw State,,,,,,
5/31/2025,,,,,,
Aaron Kniffin,,,,,,
P-OF,FR,,,,,
San Diego State,,,,,,
2025,,,,,,
Sacramento State,,,,,,
5/31/2025,,,,,,
Nevan Noonan,,,,,,
2B,JR,,,,,
San Diego State,,,,,,
2025,,,,,,
Utah,,,,,,
5/31/2025,,,,,,
Liam Mckillop,,,,,,
P,SR,,,,,
SIUE,,,,,,
2025,,,,,,
Illinois,,,,,,
5/31/2025,,,,,,
Zane Kelly,,,,,,
RF,SO,,,,,
San Diego State,,,,,,
2025,--,5/31/2025,,,,
Colin Hawkins,,,,,,
P,SR,,,,,
Illinois-Chicago,,,,,,
2025,,,,,,
Saint Louis,,,,,,
5/30/2025,,,,,,
Spenser Hamblen,,,,,,
P,SR,,,,,
Western Carolina,,,,,,
2025,,,,,,
North Georgia,,,,,,
5/30/2025,,,,,,
Hector Alejandro,,,,,,
P,SR,,,,,
Connecticut,,,,,,
2025,,,,,,
Sacred Heart,,,,,,
5/30/2025,,,,,,
Weston Gingerich,,,,,,
CF,SR,,,,,
Bradley,,,,,,
2025,,,,,,
Arkansas-Pine Bluff,,,,,,
5/30/2025,,,,,,
Ryan Muizelaar,,,,,,
IF,SR,,,,,
Jamestown,,,,,,
2025,,,,,,
Ball State,,,,,,
5/30/2025,,,,,,
Seth Cox,,,,,,
P,SR,,,,,
Memphis,,,,,,
2025,,,,,,
High Point,,,,,,
5/30/2025,,,,,,
Ian Collier,,,,,,
C,SR,,,,,
Texas State,,,,,,
2025,,,,,,
Florida Atlantic,,,,,,
5/30/2025,,,,,,
Tommy Egan,,,,,,
P,SR,,,,,
Illinois-Chicago,,,,,,
2025,,,,,,
Troy,,,,,,
5/30/2025,,,,,,
Matthew Delgado,,,,,,
C,SR,,,,,
North Alabama,,,,,,
2025,,,,,,
Iowa,,,,,,
5/30/2025,,,,,,
Kody Watanabe,,,,,,
2B,SR,,,,,
San Francisco,,,,,,
2025,,,,,,
Hawaii,,,,,,
5/30/2025,,,,,,
Ben Loyd,,,,,,
SS,JR,,,,,
Northern Illinois,,,,,,
2025,,,,,,
Bradley,,,,,,
5/30/2025,,,,,,
Cole Warehime,,,,,,
RF,JR,,,,,
Southeast Missouri,,,,,,
2025,,,,,,
Illinois,,,,,,
5/30/2025,,,,,,
Marko Sipila,,,,,,
P,JR,,,,,
San Diego State,,,,,,
2025,,,,,,
Ole Miss,,,,,,
5/30/2025,,,,,,
Owen Petrich,,,,,,
3B,JR,,,,,
Saint Joseph's,,,,,,
2025,,,,,,
Virginia Tech,,,,,,
5/30/2025,,,,,,
Pete Daniel,,,,,,
SS,SO,,,,,
Belmont,,,,,,
2025,,,,,,
Virginia Tech,,,,,,
5/30/2025,,,,,,
Lew Rice,,,,,,
CF,SR,,,,,
Charleston Southern,,,,,,
2025,,,,,,
Creighton,,,,,,
5/30/2025,,,,,,
Josh Pyne,,,,,,
3B,SR,,,,,
Indiana,,,,,,
2025,,,,,,
Troy,,,,,,
5/30/2025,,,,,,
Bradley Hodges,,,,,,
P,JR,,,,,
Virginia,,,,,,
2025,,,,,,
South Carolina,,,,,,
5/30/2025,,,,,,
Matthew Gonzalez,,,,,,
DH,SR,,,,,
New Orleans,,,,,,
2025,,,,,,
Washington,,,,,,
5/30/2025,,,,,,
Zak Skinner,,,,,,
3B,SR,,,,,
Lamar,,,,,,
2025,,,,,,
UCF,,,,,,
5/30/2025,,,,,,
Angelo Cabral,,,,,,
P,GR,,,,,
UTRGV,,,,,,
2025,--,5/30/2025,,,,
Brayden Mackey,,,,,,
P,SR,,,,,
Oral Roberts,,,,,,
2025,--,5/30/2025,,,,
Nathan Bunch,,,,,,
P,FR,,,,,
Stonehill,,,,,,
2025,--,5/30/2025,,,,
Aidan Masters,,,,,,
DH,SR,,,,,
Jacksonville,,,,,,
2025,--,5/30/2025,,,,
Will Bolinger,,,,,,
P,JR,,,,,
Presbyterian,,,,,,
2025,,,,,,
Rockhurst,,,,,,
5/29/2025,,,,,,
Ethan Nunez,,,,,,
OF,SO,,,,,
Colorado Mesa,,,,,,
2025,,,,,,
San Jose State,,,,,,
5/29/2025,,,,,,
Brett Gastman,,,,,,
P,SR,,,,,
Charleston Southern,,,,,,
2025,,,,,,
Little Rock,,,,,,
5/29/2025,,,,,,
Ryan Lamar,,,,,,
P,SR,,,,,
Georgia State,,,,,,
2025,,,,,,
Arkansas-Pine Bluff,,,,,,
5/29/2025,,,,,,
Anthony Hausner,,,,,,
DH,JR,,,,,
The Citadel,,,,,,
2025,,,,,,
Gardner-Webb,,,,,,
5/29/2025,,,,,,
Brandon Wingenroth,,,,,,
P,SO,,,,,
Penn State,,,,,,
2025,,,,,,
UMass,,,,,,
5/29/2025,,,,,,
Colton Vercoe,,,,,,
P,JR,,,,,
Wichita State,,,,,,
2025,,,,,,
UTRGV,,,,,,
5/29/2025,,,,,,
Gabe Maya,,,,,,
P,JR,,,,,
Loyola Marymount,,,,,,
2025,,,,,,
Pepperdine,,,,,,
5/29/2025,,,,,,
Elie Kligman,,,,,,
C,JR,,,,,
Sacramento State,,,,,,
2025,,,,,,
Michigan,,,,,,
5/29/2025,,,,,,
Caden Barnett,,,,,,
P,SR,,,,,
Presbyterian,,,,,,
2025,,,,,,
UAH,,,,,,
5/29/2025,,,,,,
Kevin Novobilsky,,,,,,
2B,JR,,,,,
UNC Wilmington,,,,,,
2025,,,,,,
Rutgers,,,,,,
5/29/2025,,,,,,
Evan Clark,,,,,,
P,SR,,,,,
Illinois,,,,,,
2025,,,,,,
Notre Dame,,,,,,
5/29/2025,,,,,,
Nolan Straniero,,,,,,
P,SR,,,,,
Elon,,,,,,
2025,,,,,,
Arizona,,,,,,
5/29/2025,,,,,,
Justin Szestowicki,,,,,,
SS,JR,,,,,
Elon,,,,,,
2025,,,,,,
La Salle,,,,,,
5/29/2025,,,,,,
Jax Traeger,,,,,,
P,JR,,,,,
TCU,,,,,,
2025,,,,,,
Rice,,,,,,
5/29/2025,,,,,,
Sean Smith,,,,,,
LF,SR,,,,,
Georgia Southern,,,,,,
2025,,,,,,
West Virginia,,,,,,
5/29/2025,,,,,,
Matthew Strand,,,,,,
C,SR,,,,,
Samford,,,,,,
2025,,,,,,
Duke,,,,,,
5/29/2025,,,,,,
Logan Runde,,,,,,
P,SR,,,,,
Florida International,,,,,,
2025,,,,,,
Iowa,,,,,,
5/29/2025,,,,,,
Drew Berkland,,,,,,
LF,JR,,,,,
Minnesota,,,,,,
2025,,,,,,
Notre Dame,,,,,,
5/29/2025,,,,,,
Jacob Anderson,,,,,,
3B,JR,,,,,
Michigan State,,,,,,
2025,--,5/29/2025,,,,
Chad Readey,,,,,,
P,SR,,,,,
Northwestern,,,,,,
2025,--,5/29/2025,,,,
Ryan Maka,,,,,,
RF,SR,,,,,
Valparaiso,,,,,,
2025,--,5/29/2025,,,,
Tyler Smith,,,,,,
1B,SR,,,,,
Saint Peter's,,,,,,
2025,--,5/29/2025,,,,
Matty Fung,,,,,,
RF,SR,,,,,
San Francisco,,,,,,
2025,--,5/29/2025,,,,
Ben Kasparie,,,,,,
CF,JR,,,,,
Fort Wayne,,,,,,
2025,--,5/29/2025,,,,
Gio Arzuaga,,,,,,
P,JR,,,,,
Stonehill,,,,,,
2025,,,,,,
UMass Dartmouth,,,,,,
5/28/2025,,,,,,
Sam Brady,,,,,,
P,SR,,,,,
Loyola Marymount,,,,,,
2025,,,,,,
South Alabama,,,,,,
5/28/2025,,,,,,
Tyvon Moore,,,,,,
CF,SR,,,,,
San Francisco,,,,,,
2025,,,,,,
Prairie View,,,,,,
5/28/2025,,,,,,
Gavin Black,,,,,,
P,JR,,,,,
Mississippi State,,,,,,
2025,,,,,,
USC Upstate,,,,,,
5/28/2025,,,,,,
Rees Kent,,,,,,
LF,JR,,,,,
Saint Mary's (CA),,,,,,
2025,,,,,,
CSU San Marcos,,,,,,
5/28/2025,,,,,,
Mason Ruh,,,,,,
P,JR,,,,,
Northern Illinois,,,,,,
2025,,,,,,
UNC Wilmington,,,,,,
5/28/2025,,,,,,
Gavin Bogdanchik,,,,,,
C,SR,,,,,
Charleston Southern,,,,,,
2025,,,,,,
Elon,,,,,,
5/28/2025,,,,,,
Parker Johnson,,,,,,
P,SO,,,,,
Illinois-Chicago,,,,,,
2025,,,,,,
McKendree,,,,,,
5/28/2025,,,,,,
Parker Coley,,,,,,
RF,SR,,,,,
Southeastern Louisiana,,,,,,
2025,,,,,,
Western Kentucky,,,,,,
5/28/2025,,,,,,
Grayson Sparr,,,,,,
RF,SO,,,,,
Stonehill,,,,,,
2025,,,,,,
Old Dominion,,,,,,
5/28/2025,,,,,,
Sam Hart,,,,,,
P,SR,,,,,
Iowa,,,,,,
2025,,,,,,
BYU,,,,,,
5/28/2025,,,,,,
Caleb Freeman,,,,,,
P,GR,,,,,
Jacksonville,,,,,,
2025,,,,,,
Eastern Kentucky,,,,,,
5/28/2025,,,,,,
Drake Anderson,,,,,,
LF,SR,,,,,
Arkansas State,,,,,,
2025,,,,,,
Incarnate Word,,,,,,
5/28/2025,,,,,,
Landis Davila,,,,,,
OF,FR,,,,,
Mississippi State,,,,,,
2025,,,,,,
Rice,,,,,,
5/28/2025,,,,,,
Tyler Bickers,,,,,,
2B,SR,,,,,
Milwaukee,,,,,,
2025,,,,,,
Arizona,,,,,,
5/28/2025,,,,,,
Colin Fitzgerald,,,,,,
P,JR,,,,,
Maine,,,,,,
2025,,,,,,
Penn State,,,,,,
5/28/2025,,,,,,
Thomas Ellisen,,,,,,
P,JR,,,,,
Connecticut,,,,,,
2025,,,,,,
Georgia,,,,,,
5/28/2025,,,,,,
Teige Lethert,,,,,,
C,SR,,,,,
Milwaukee,,,,,,
2025,,,,,,
VCU,,,,,,
5/28/2025,,,,,,
Kaden Carpenter,,,,,,
RF,JR,,,,,
Utah,,,,,,
2025,,,,,,
Utah Valley,,,,,,
5/28/2025,,,,,,
RJ Latkowski,,,,,,
P,JR,,,,,
Long Island,,,,,,
2025,,,,,,
Elon,,,,,,
5/28/2025,,,,,,
Jack Meyer,,,,,,
3B,GR,,,,,
Lindenwood,,,,,,
2025,,,,,,
Maryville,,,,,,
5/28/2025,,,,,,
Logan Piper,,,,,,
P,JR,,,,,
California,,,,,,
2025,,,,,,
San Diego,,,,,,
5/28/2025,,,,,,
Gabe Springer,,,,,,
IF,JR,,,,,
Stanford,,,,,,
2025,,,,,,
San Diego,,,,,,
5/28/2025,,,,,,
Noah Tincher,,,,,,
P,SR,,,,,
Saint Joseph's,,,,,,
2025,--,5/28/2025,,,,
Tyler Tilton,,,,,,
P,JR,,,,,
Siena,,,,,,
2025,--,5/28/2025,,,,
Michael Curry,,,,,,
C,JR,,,,,
Southeastern Louisiana,,,,,,
2025,--,5/28/2025,,,,
Tracy Mitchem,,,,,,
1B,JR,,,,,
Tulane,,,,,,
2025,--,5/28/2025,,,,
Sonny Rao,,,,,,
IF,SR,,,,,
Northwestern,,,,,,
2025,--,5/28/2025,,,,
Vincent Trapani,,,,,,
P,JR,,,,,
Illinois-Chicago,,,,,,
2025,--,5/28/2025,,,,
Cole Dillon,,,,,,
C,SR,,,,,
Wichita State,,,,,,
2025,--,5/28/2025,,,,
Brylan West,,,,,,
1B,SR,,,,,
Florida International,,,,,,
2025,,,,,,
Miami,,,,,,
5/28/2025,,,,,,
Rhogue Wallace,,,,,,
RF,SR,,,,,
Presbyterian,,,,,,
2025,--,5/28/2025,,,,
Logan Schweizer,,,,,,
IF,SR,,,,,
San Francisco,,,,,,
2025,--,5/28/2025,,,,
Jacobe Nailer,,,,,,
P,JR,,,,,
Alcorn State,,,,,,
2025,--,5/28/2025,,,,
Ryan Jenkins,,,,,,
LF,JR,,,,,
Fort Wayne,,,,,,
2025,--,5/28/2025,,,,
Blayne McFerren,,,,,,
IF,FR,,,,,
UL Monroe,,,,,,
2025,--,5/28/2025,,,,
Matthew Lorenzano,,,,,,
P,JR,,,,,
Southeast Missouri,,,,,,
2025,,,,,,
Cal Poly,,,,,,
5/27/2025,,,,,,
Nick Hockemeyer,,,,,,
LF,SO,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Arkansas-Pine Bluff,,,,,,
5/27/2025,,,,,,
EJ Miramontes,,,,,,
P,SR,,,,,
UTRGV,,,,,,
2025,,,,,,
Northern Kentucky,,,,,,
5/27/2025,,,,,,
Sam Heyman,,,,,,
P,JR,,,,,
Southeast Missouri,,,,,,
2025,,,,,,
Belmont,,,,,,
5/27/2025,,,,,,
Jake Guardiancic,,,,,,
P,SR,,,,,
California,,,,,,
2025,,,,,,
Pepperdine,,,,,,
5/27/2025,,,,,,
Jacob Rowold,,,,,,
DH,SR,,,,,
Bellarmine,,,,,,
2025,,,,,,
Western Michigan,,,,,,
5/27/2025,,,,,,
Caleb Corbin,,,,,,
3B,SR,,,,,
Southeast Missouri,,,,,,
2025,,,,,,
North Dakota State,,,,,,
5/27/2025,,,,,,
Martin Vazquez,,,,,,
IF,GR,,,,,
UTRGV,,,,,,
2025,,,,,,
Texas A&M International,,,,,,
5/27/2025,,,,,,
Lucas Alaniz,,,,,,
P,SR,,,,,
California,,,,,,
2025,,,,,,
Cal State Northridge,,,,,,
5/27/2025,,,,,,
Chris Takita,,,,,,
OF,FR,,,,,
Stonehill,,,,,,
2025,,,,,,
Clark,,,,,,
5/27/2025,,,,,,
Collin Curry,,,,,,
1B,JR,,,,,
Norfolk State,,,,,,
2025,,,,,,
Alabama A&M,,,,,,
5/27/2025,,,,,,
Ethan Starks,,,,,,
RF,JR,,,,,
Saint Peter's,,,,,,
2025,,,,,,
Nelson University,,,,,,
5/27/2025,,,,,,
Lucas Letsinger,,,,,,
P,SR,,,,,
Ball State,,,,,,
2025,,,,,,
Bellarmine,,,,,,
5/27/2025,,,,,,
Heath Clevenger,,,,,,
P,JR,,,,,
Samford,,,,,,
2025,,,,,,
Florida Southern,,,,,,
5/27/2025,,,,,,
Drew Iverson,,,,,,
P,SO,,,,,
Wichita State,,,,,,
2025,,,,,,
Omaha,,,,,,
5/27/2025,,,,,,
Nathan Waldridge,,,,,,
P,SR,,,,,
Campbell,,,,,,
2025,,,,,,
Barton College,,,,,,
5/27/2025,,,,,,
Jacob Limas,,,,,,
P,SR,,,,,
UTRGV,,,,,,
2025,,,,,,
Grand Canyon,,,,,,
5/27/2025,,,,,,
Ethan Cole,,,,,,
P-IF,SR,,,,,
Minnesota Duluth,,,,,,
2025,,,,,,
Minnesota,,,,,,
5/27/2025,,,,,,
Kaden Straily,,,,,,
P,SO,,,,,
Coppin State,,,,,,
2025,,,,,,
MSU Denver,,,,,,
5/27/2025,,,,,,
Ryan Weaver,,,,,,
P,JR,,,,,
Illinois State,,,,,,
2025,,,,,,
Northwestern,,,,,,
5/27/2025,,,,,,
Brendan Kleiman,,,,,,
C,SR,,,,,
Eastern Michigan,,,,,,
2025,,,,,,
Arkansas,,,,,,
5/27/2025,,,,,,
Bryce Greene,,,,,,
P,SR,,,,,
Florida International,,,,,,
2025,,,,,,
James Madison,,,,,,
5/27/2025,,,,,,
Preston Curtis,,,,,,
DH,SR,,,,,
Central Arkansas,,,,,,
2025,,,,,,
Houston Christian,,,,,,
5/27/2025,,,,,,
Kyle Finn,,,,,,
P,SR,,,,,
Old Dominion,,,,,,
2025,,,,,,
Canisius,,,,,,
5/27/2025,,,,,,
Jace Jeremiah,,,,,,
2B,SR,,,,,
St. John's,,,,,,
2025,,,,,,
Sacramento State,,,,,,
5/27/2025,,,,,,
Drue Young,,,,,,
P,SR,,,,,
Ball State,,,,,,
2025,,,,,,
Evansville,,,,,,
5/27/2025,,,,,,
Mason Breidenbach,,,,,,
RF,JR,,,,,
Bradley,,,,,,
2025,,,,,,
Miami (OH),,,,,,
5/27/2025,,,,,,
Shea McGahan,,,,,,
C,SR,,,,,
Southeast Missouri,,,,,,
2025,,,,,,
Kansas State,,,,,,
5/27/2025,,,,,,
Nick Husovsky,,,,,,
2B,SR,,,,,
Ball State,,,,,,
2025,,,,,,
UC Santa Barbara,,,,,,
5/27/2025,,,,,,
Alec DeMartino,,,,,,
RF,JR,,,,,
UNC Wilmington,,,,,,
2025,,,,,,
Charlotte,,,,,,
5/27/2025,,,,,,
Alex Valentin,,,,,,
P,SO,,,,,
Texas State,,,,,,
2025,,,,,,
South Carolina,,,,,,
5/27/2025,,,,,,
Aidan Lee,,,,,,
P,JR,,,,,
CSU Monterey Bay,,,,,,
2025,,,,,,
Grand Canyon,,,,,,
5/27/2025,,,,,,
Jake Pemble,,,,,,
P,JR,,,,,
Bradley,,,,,,
2025,,,,,,
Missouri Western,,,,,,
5/27/2025,,,,,,
Jaime Perez,,,,,,
C,SR,,,,,
Tarleton State,,,,,,
2025,,,,,,
Grand Canyon,,,,,,
5/27/2025,,,,,,
Dawson Montesa,,,,,,
P,SO,,,,,
Adelphi,,,,,,
2025,,,,,,
West Virginia,,,,,,
5/27/2025,,,,,,
Ivan Dahlberg,,,,,,
C,JR,,,,,
Illinois Springfield,,,,,,
2025,,,,,,
Northern Illinois,,,,,,
5/27/2025,,,,,,
Aidan Cohall,,,,,,
LF,JR,,,,,
Stonehill,,,,,,
2025,,,,,,
Florida International,,,,,,
5/27/2025,,,,,,
Alex Duffey,,,,,,
C,JR,,,,,
Elon,,,,,,
2025,,,,,,
Kentucky,,,,,,
5/27/2025,,,,,,
Blake Wilson,,,,,,
2B,JR,,,,,
Tarleton State,,,,,,
2025,,,,,,
MSU Denver,,,,,,
5/27/2025,,,,,,
Bryce Phelps,,,,,,
RF,SR,,,,,
Wagner,,,,,,
2025,,,,,,
Iowa,,,,,,
5/27/2025,,,,,,
Jeremy Delamota,,,,,,
LF,SR,,,,,
Wagner,,,,,,
2025,,,,,,
Fairleigh Dickinson,,,,,,
5/27/2025,,,,,,
Hunter Katschke,,,,,,
DH,SR,,,,,
Utah Tech,,,,,,
2025,,,,,,
Utah Valley,,,,,,
5/27/2025,,,,,,
Cullen Horowicz,,,,,,
P,JR,,,,,
Samford,,,,,,
2025,,,,,,
South Carolina,,,,,,
5/27/2025,,,,,,
Ricky Reeth,,,,,,
P,SR,,,,,
Notre Dame,,,,,,
2025,,,,,,
Florida,,,,,,
5/27/2025,,,,,,
Logan Sutter,,,,,,
1B,SR,,,,,
Purdue,,,,,,
2025,,,,,,
South Carolina,,,,,,
5/27/2025,,,,,,
Brayden Simpson,,,,,,
3B,JR,,,,,
High Point,,,,,,
2025,,,,,,
LSU,,,,,,
5/27/2025,,,,,,
Carsten Finnvold,,,,,,
P,JR,,,,,
UCF,,,,,,
2025,--,5/27/2025,,,,
Gavin Smith,,,,,,
P,SR,,,,,
Tulane,,,,,,
2025,--,5/27/2025,,,,
Dylan Brown,,,,,,
P,SR,,,,,
San Francisco,,,,,,
2025,--,5/27/2025,,,,
Andrew White,,,,,,
P,SR,,,,,
Queens (NC),,,,,,
2025,--,5/27/2025,,,,
Kyle Rizy,,,,,,
P,SR,,,,,
Bryant,,,,,,
2025,--,5/27/2025,,,,
Dane Toman,,,,,,
P,JR,,,,,
South Dakota State,,,,,,
2025,--,5/27/2025,,,,
Derek Blackmore,,,,,,
1B,SR,,,,,
Coppin State,,,,,,
2025,--,5/27/2025,,,,
Maret Drye,,,,,,
P,SR,,,,,
Western Carolina,,,,,,
2025,--,5/27/2025,,,,
Troy McGirt,,,,,,
DH,JR,,,,,
Elon,,,,,,
2025,--,5/27/2025,,,,
Connor Throneberry,,,,,,
P,JR,,,,,
Penn State,,,,,,
2025,--,5/27/2025,,,,
Rob Moynihan,,,,,,
P,JR,,,,,
Stonehill,,,,,,
2025,--,5/27/2025,,,,
Mitch Cummins,,,,,,
RF,SR,,,,,
Lindenwood,,,,,,
2025,--,5/27/2025,,,,
Ty Morris,,,,,,
P,SR,,,,,
Marist,,,,,,
2025,--,5/27/2025,,,,
John Wade,,,,,,
P,SR,,,,,
Saint Peter's,,,,,,
2025,--,5/27/2025,,,,
Evann Schmidtendorff,,,,,,
C,FR,,,,,
Fort Wayne,,,,,,
2025,--,5/27/2025,,,,
Dom Pieto,,,,,,
P,GR,,,,,
Tulane,,,,,,
2025,,,,,,
Jacksonville,,,,,,
5/26/2025,,,,,,
Carter Orner,,,,,,
P,FR,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Lakeland CC,,,,,,
5/26/2025,,,,,,
Brock Slaton,,,,,,
LF,SR,,,,,
Tulane,,,,,,
2025,,,,,,
USC,,,,,,
5/26/2025,,,,,,
Jacob Dienes,,,,,,
P,JR,,,,,
NC State,,,,,,
2025,,,,,,
Memphis,,,,,,
5/26/2025,,,,,,
Bryce Cermenelli,,,,,,
3B,JR,,,,,
Central Arkansas,,,,,,
2025,,,,,,
Missouri State,,,,,,
5/26/2025,,,,,,
Gray Bane,,,,,,
C,SR,,,,,
Incarnate Word,,,,,,
2025,--,5/26/2025,,,,
Christian Howe,,,,,,
P,JR,,,,,
Eastern Kentucky,,,,,,
2025,--,5/26/2025,,,,
Ryan Radcliff,,,,,,
P,SR,,,,,
Eastern Kentucky,,,,,,
2025,--,5/26/2025,,,,
Jaden Ross,,,,,,
OF,SR,,,,,
Flagler,,,,,,
2025,--,5/26/2025,,,,
Kolby Watson,,,,,,
CF,SO,,,,,
UNC Asheville,,,,,,
2025,,,,,,
Tusculum,,,,,,
5/25/2025,,,,,,
Hayden Lewis,,,,,,
P,JR,,,,,
New Mexico State,,,,,,
2025,,,,,,
Washington,,,,,,
5/25/2025,,,,,,
Easton Harris,,,,,,
P-IF,JR,,,,,
Bradley,,,,,,
2025,,,,,,
SIUE,,,,,,
5/25/2025,,,,,,
Gage Mestas,,,,,,
LF,JR,,,,,
Gonzaga,,,,,,
2025,,,,,,
San Diego,,,,,,
5/25/2025,,,,,,
Jackson Smith,,,,,,
SS,FR,,,,,
Bradley,,,,,,
2025,,,,,,
Cincinnati,,,,,,
5/25/2025,,,,,,
Matthew Kitzman,,,,,,
P,JR,,,,,
Bradley,,,,,,
2025,--,5/25/2025,,,,
Sheehan O'Connor,,,,,,
2B,SR,,,,,
New Mexico State,,,,,,
2025,,,,,,
NJIT,,,,,,
5/24/2025,,,,,,
Isaac Sobieszczyk,,,,,,
3B,SO,,,,,
Bradley,,,,,,
2025,,,,,,
Missouri Western,,,,,,
5/24/2025,,,,,,
Isaac Turner,,,,,,
2B,SO,,,,,
UNC Asheville,,,,,,
2025,,,,,,
UNC Pembroke,,,,,,
5/24/2025,,,,,,
Josh Livingston,,,,,,
2B,SR,,,,,
Wichita State,,,,,,
2025,,,,,,
Texas,,,,,,
5/24/2025,,,,,,
Adam Haber,,,,,,
DH,SR,,,,,
Wofford,,,,,,
2025,,,,,,
Georgia State,,,,,,
5/24/2025,,,,,,
Ethan Harden,,,,,,
P,SO,,,,,
Belmont,,,,,,
2025,,,,,,
Auburn,,,,,,
5/24/2025,,,,,,
Ryan Bakes,,,,,,
C,SO,,,,,
South Carolina,,,,,,
2025,,,,,,
Illinois State,,,,,,
5/24/2025,,,,,,
Beau Durbin,,,,,,
2B,JR,,,,,
Bradley,,,,,,
2025,,,,,,
Lamar,,,,,,
5/24/2025,,,,,,
Bobby Atkinson,,,,,,
DH,SR,,,,,
Bradley,,,,,,
2025,,,,,,
Missouri State,,,,,,
5/24/2025,,,,,,
Grant Comstock,,,,,,
P,SR,,,,,
Wofford,,,,,,
2025,--,5/24/2025,,,,
Sam Garland,,,,,,
P,JR,,,,,
Fort Wayne,,,,,,
2025,--,5/24/2025,,,,
Johnny Brucato,,,,,,
2B,JR,,,,,
UNC Asheville,,,,,,
2025,--,5/24/2025,,,,
Dylan Rhadans,,,,,,
P,SR,,,,,
Wofford,,,,,,
2025,--,5/24/2025,,,,
Mark Luke,,,,,,
P,JR,,,,,
Fort Wayne,,,,,,
2025,--,5/24/2025,,,,
Leo Mcenulty,,,,,,
P,FR,,,,,
Fort Wayne,,,,,,
2025,--,5/24/2025,,,,
Keenan Spence,,,,,,
RF,SR,,,,,
Purdue,,,,,,
2025,--,5/24/2025,,,,
Drake Bicknell,,,,,,
C,SR,,,,,
Pacific,,,,,,
2025,,,,,,
UC San Diego,,,,,,
5/23/2025,,,,,,
Augusto Schroeder,,,,,,
3B,SO,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Arkansas-Pine Bluff,,,,,,
5/23/2025,,,,,,
Joe Chrapliwy,,,,,,
P,FR,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Davenport,,,,,,
5/23/2025,,,,,,
Tyson Greenwood,,,,,,
P,FR,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Mineral Area,,,,,,
5/23/2025,,,,,,
Sage Adams,,,,,,
DH,FR,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Midland (TX),,,,,,
5/23/2025,,,,,,
Mauri Bejarano,,,,,,
SS,SO,,,,,
Eastern Kentucky,,,,,,
2025,,,,,,
Rollins College,,,,,,
5/23/2025,,,,,,
Trent Murphy,,,,,,
P,FR,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Ball State,,,,,,
5/23/2025,,,,,,
Colton Shirley,,,,,,
DH,JR,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Ohio,,,,,,
5/23/2025,,,,,,
Camden Karczewski,,,,,,
SS,SR,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Illinois State,,,,,,
5/23/2025,,,,,,
Theo Nagy,,,,,,
P,FR,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Flagler,,,,,,
5/23/2025,,,,,,
Drew Helton,,,,,,
3B,FR,,,,,
Fort Wayne,,,,,,
2025,,,,,,
Wharton County,,,,,,
5/23/2025,,,,,,
Kevin Hall,,,,,,
CF,SO,,,,,
Fort Wayne,,,,,,
2025,,,,,,
UAB,,,,,,
